55
2025-01-03,100,105,95,100,5000
2025-02-10,295,305,290,300,9000
2025-01-01,100,110,90,105,5200
2025-02-24,360,370,355,365,10350,AnotherExtra
2025-01-02,105,115,,100,5100
2025-02-05,270,280,265,275,8500
2025-01-04,110,120,100,115,5300
2025-01-25,215,225,210,220,7400
2025-01-15,165,175,160,170,6400
2025-02-03,260,270,255,265,8300
2025-01-28,230,240,225,235,7700
2025-02-11,300,310,295,305,9100
2025-01-09,140,150,135,145,5900
2025-01-08,125,135,120,130,5600
2025-01-27,225,235,220,230,7600
2025-01-06,120,130,115,125,5500
2025-01-11,145,155,140,150,6000
2025-02-22,355,365,350,360,10200
2025-01-12,150,160,145,155,6100
2025-01-07,130,140,125,135,5700
2025-02-21,350,360,345,355,10100
2025-02-08,285,295,280,290,8800
2025-01-05,115,125,110,120,5400
2025-02-16,325,335,320,330,9600
2025-01-16,170,180,165,175,6500
2025-01-14,160,170,155,165,6300
2025-01-13,155,165,150,160,6200
2025-01-17,175,185,170,180,6600
2025-02-12,305,315,300,310,9200
2025-01-29,235,245,230,240,7800
2025-02-09,290,300,285,295,8900
2025-01-10,135,145,130,140,5800
2025-01-31,245,255,240,250,8000
2025-02-01,250,260,245,255,8100
2025-02-02,255,265,250,260,8200
2025-02-04,265,275,260,270,8400
2025-02-06,275,285,270,280,8600
2025-02-07,280,290,275,285,8700
2025-02-13,310,320,305,315,9300
2025-02-14,315,325,310,320,9400
2025-02-15,320,330,315,325,9500
2025-02-17,330,340,325,335,9700
2025-02-18,335,345,330,340,9800
2025-02-19,340,350,335,345,9900
2025-02-20,345,355,340,350,10000
2025-02-23,360,370,355,365,10300
bad-date,365,375,360,370,10400
2025-01-22,200,210,195,205,7100
2025-01-23,205,215,200,210,7200
2025-01-24,210,220,205,215,7300
2025-01-26,220,230,215,225,7500
2025-01-02,105,115,100,110,5150
2025-02-25,350,360,345,355,10150
2025-02-26,355,365,350,360,10250
2025-02-27,360,370,355,365,10350
