50
2025-01-01,100,110,90,105
2025-01-02,105,115,95,108
2025-01-03,108,118,104,112
2025-01-04,112,120,110,117
2025-01-05,117,125,115,120
2025-01-06,120,128,118,124
2025-01-07,124,130,122,127
2025-01-08,127,133,125,130
2025-01-09,130,137,128,135
2025-01-10,135,142,133,138
2025-01-11,138,144,136,140
2025-01-12,140,146,138,142
2025-01-13,142,148,140,145
2025-01-14,145,150,143,147
2025-01-15,147,153,145,150
2025-01-16,150,155,148,152
2025-01-17,152,158,150,155
2025-01-18,155,160,153,158
2025-01-19,158,164,156,161
2025-01-20,161,167,159,164
2025-01-21,164,170,162,167
2025-01-22,167,172,165,169
2025-01-23,169,175,167,172
2025-01-24,172,178,170,175
2025-01-25,175,180,173,178
2025-01-26,178,184,176,181
2025-01-27,181,187,179,184
2025-01-28,184,190,182,187
2025-01-29,187,193,185,190
2025-01-30,190,196,188,193
2025-01-31,193,199,191,196
2025-02-01,196,202,194,199
2025-02-02,199,205,197,202
2025-02-03,202,208,200,205
2025-02-04,205,211,203,208
2025-02-05,208,214,206,211
2025-02-06,211,217,209,214
2025-02-07,214,220,212,217
2025-02-08,217,223,215,220
2025-02-09,220,226,218,223
2025-02-10,223,229,221,226
2025-02-11,226,232,224,229
2025-02-12,229,235,227,232
2025-02-13,232,238,230,235
2025-02-14,235,241,233,238
2025-02-15,238,244,236,241
2025-02-16,241,247,239,244
2025-02-17,244,250,242,247
2025-02-18,247,253,245,250
2025-02-19,250,256,248,253
