41
2025-01-01,100,110,90,105
2025-01-02,105,115,95,100
2025-01-03,100,105,95,100
2025-01-04,100,112,98,110
2025-01-05,110,120,105,115
2025-01-06,115,118,110,112
2025-01-07,112,116,108,114
2025-01-08,114,119,111,117
2025-01-09,117,125,115,123
2025-01-10,123,130,120,128
2025-01-11,128,132,125,130
2025-01-12,130,135,127,133
2025-01-13,133,138,130,136
2025-01-14,136,140,134,138
2025-01-15,138,145,137,143
2025-01-16,143,147,140,141
2025-01-17,141,144,138,139
2025-01-18,139,142,136,140
2025-01-19,140,146,139,145
2025-01-20,145,150,144,148
2025-01-21,148,152,146,150
2025-01-22,150,155,149,153
2025-01-23,153,158,151,156
2025-01-24,156,160,154,157
2025-01-25,157,162,155,160
2025-01-26,160,165,159,163
2025-01-27,163,168,161,166
2025-01-28,166,170,164,168
2025-01-29,168,172,167,170
2025-01-30,170,175,168,173
2025-01-31,173,178,171,176
2025-02-01,176,182,174,180
2025-02-02,180,185,178,183
2025-02-03,183,188,181,186
2025-02-04,186,190,184,188
2025-02-05,188,193,186,191
2025-02-06,191,196,189,194
2025-02-07,194,199,192,197
2025-02-08,197,202,195,200
2025-02-09,200,205,198,203
2025-02-10,203,208,201,206
