30
2025-01-01,120,125,118,122
2025-01-02,121,123,117,119
2025-01-03,119,121,115,117
2025-01-04,117,118,113,115
2025-01-05,115,116,110,112
2025-01-06,112,114,108,109
2025-01-07,109,111,105,107
2025-01-08,107,109,103,105
2025-01-09,105,107,102,104
2025-01-10,104,106,101,103
2025-01-11,103,105,100,102
2025-01-12,102,104,99,101
2025-01-13,101,103,98,100
2025-01-14,100,103,99,102
2025-01-15,102,106,101,105
2025-01-16,105,108,104,107
2025-01-17,107,110,106,109
2025-01-18,109,112,108,111
2025-01-19,111,114,110,113
2025-01-20,113,116,112,115
2025-01-21,115,119,114,117
2025-01-22,117,121,116,120
2025-01-23,120,124,119,123
2025-01-24,123,127,122,126
2025-01-25,126,130,125,128
2025-01-26,128,132,127,130
2025-01-27,130,134,129,132
2025-01-28,132,136,131,134
2025-01-29,134,138,133,136
2025-01-30,136,140,135,138

