2025-01-01,100.0,110.0,90.0,105.0,N/A,N/A
2025-01-02,105.0,115.0,95.0,108.0,N/A,2.86
2025-01-03,108.0,118.0,104.0,112.0,N/A,3.7
2025-01-04,112.0,120.0,110.0,117.0,N/A,4.46
2025-01-05,117.0,125.0,115.0,120.0,112.4,2.56
2025-01-06,120.0,128.0,118.0,124.0,116.2,3.33
2025-01-07,124.0,130.0,122.0,127.0,120.0,2.42
2025-01-08,127.0,133.0,125.0,130.0,123.6,2.36
2025-01-09,130.0,137.0,128.0,135.0,127.2,3.85
2025-01-10,135.0,142.0,133.0,138.0,130.8,2.22
2025-01-11,138.0,144.0,136.0,140.0,134.0,1.45
2025-01-12,140.0,146.0,138.0,142.0,137.0,1.43
2025-01-13,142.0,148.0,140.0,145.0,140.0,2.11
2025-01-14,145.0,150.0,143.0,147.0,142.4,1.38
2025-01-15,147.0,153.0,145.0,150.0,144.8,2.04
2025-01-16,150.0,155.0,148.0,152.0,147.2,1.33
2025-01-17,152.0,158.0,150.0,155.0,149.8,1.97
2025-01-18,155.0,160.0,153.0,158.0,152.4,1.94
2025-01-19,158.0,164.0,156.0,161.0,155.2,1.9
2025-01-20,161.0,167.0,159.0,164.0,158.0,1.86
2025-01-21,164.0,170.0,162.0,167.0,161.0,1.83
2025-01-22,167.0,172.0,165.0,169.0,163.8,1.2
2025-01-23,169.0,175.0,167.0,172.0,166.6,1.78
2025-01-24,172.0,178.0,170.0,175.0,169.4,1.74
2025-01-25,175.0,180.0,173.0,178.0,172.2,1.71
2025-01-26,178.0,184.0,176.0,181.0,175.0,1.69
2025-01-27,181.0,187.0,179.0,184.0,178.0,1.66
2025-01-28,184.0,190.0,182.0,187.0,181.0,1.63
2025-01-29,187.0,193.0,185.0,190.0,184.0,1.6
2025-01-30,190.0,196.0,188.0,193.0,187.0,1.58
2025-01-31,193.0,199.0,191.0,196.0,190.0,1.55
2025-02-01,196.0,202.0,194.0,199.0,193.0,1.53
2025-02-02,199.0,205.0,197.0,202.0,196.0,1.51
2025-02-03,202.0,208.0,200.0,205.0,199.0,1.49
2025-02-04,205.0,211.0,203.0,208.0,202.0,1.46
2025-02-05,208.0,214.0,206.0,211.0,205.0,1.44
2025-02-06,211.0,217.0,209.0,214.0,208.0,1.42
2025-02-07,214.0,220.0,212.0,217.0,211.0,1.4
2025-02-08,217.0,223.0,215.0,220.0,214.0,1.38
2025-02-09,220.0,226.0,218.0,223.0,217.0,1.36
2025-02-10,223.0,229.0,221.0,226.0,220.0,1.35
2025-02-11,226.0,232.0,224.0,229.0,223.0,1.33
2025-02-12,229.0,235.0,227.0,232.0,226.0,1.31
2025-02-13,232.0,238.0,230.0,235.0,229.0,1.29
2025-02-14,235.0,241.0,233.0,238.0,232.0,1.28
2025-02-15,238.0,244.0,236.0,241.0,235.0,1.26
2025-02-16,241.0,247.0,239.0,244.0,238.0,1.24
2025-02-17,244.0,250.0,242.0,247.0,241.0,1.23
2025-02-18,247.0,253.0,245.0,250.0,244.0,1.21
2025-02-19,250.0,256.0,248.0,253.0,247.0,1.2
