2025-01-01,100.0,110.0,90.0,105.0
2025-01-02,105.0,115.0,100.0,110.0
2025-01-03,100.0,105.0,95.0,100.0
2025-01-04,110.0,120.0,100.0,115.0
2025-01-05,115.0,125.0,110.0,120.0
2025-01-06,120.0,130.0,115.0,125.0
2025-01-07,130.0,140.0,125.0,135.0
2025-01-08,125.0,135.0,120.0,130.0
2025-01-09,140.0,150.0,135.0,145.0
2025-01-10,135.0,145.0,130.0,140.0
2025-01-11,145.0,155.0,140.0,150.0
2025-01-12,150.0,160.0,145.0,155.0
2025-01-13,155.0,165.0,150.0,160.0
2025-01-14,160.0,170.0,155.0,165.0
2025-01-15,165.0,175.0,160.0,170.0
2025-01-16,170.0,180.0,165.0,175.0
2025-01-17,175.0,185.0,170.0,180.0
2025-01-22,200.0,210.0,195.0,205.0
2025-01-23,205.0,215.0,200.0,210.0
2025-01-24,210.0,220.0,205.0,215.0
2025-01-25,215.0,225.0,210.0,220.0
2025-01-26,220.0,230.0,215.0,225.0
2025-01-27,225.0,235.0,220.0,230.0
2025-01-28,230.0,240.0,225.0,235.0
2025-01-29,235.0,245.0,230.0,240.0
2025-01-31,245.0,255.0,240.0,250.0
2025-02-01,250.0,260.0,245.0,255.0
2025-02-02,255.0,265.0,250.0,260.0
2025-02-03,260.0,270.0,255.0,265.0
2025-02-04,265.0,275.0,260.0,270.0
2025-02-05,270.0,280.0,265.0,275.0
2025-02-06,275.0,285.0,270.0,280.0
2025-02-07,280.0,290.0,275.0,285.0
2025-02-08,285.0,295.0,280.0,290.0
2025-02-09,290.0,300.0,285.0,295.0
2025-02-10,295.0,305.0,290.0,300.0
2025-02-11,300.0,310.0,295.0,305.0
2025-02-12,305.0,315.0,300.0,310.0
2025-02-13,310.0,320.0,305.0,315.0
2025-02-14,315.0,325.0,310.0,320.0
2025-02-15,320.0,330.0,315.0,325.0
2025-02-16,325.0,335.0,320.0,330.0
2025-02-17,330.0,340.0,325.0,335.0
2025-02-18,335.0,345.0,330.0,340.0
2025-02-19,340.0,350.0,335.0,345.0
2025-02-20,345.0,355.0,340.0,350.0
2025-02-21,350.0,360.0,345.0,355.0
2025-02-22,355.0,365.0,350.0,360.0
2025-02-23,360.0,370.0,355.0,365.0
2025-02-24,360.0,370.0,355.0,365.0
2025-02-25,350.0,360.0,345.0,355.0
2025-02-26,355.0,365.0,350.0,360.0
2025-02-27,360.0,370.0,355.0,365.0
